COUNT,House Amount (in thousands),Senate Amount (in thousands),Final Amount (in thousands),Program Increase,Floor Amendment,Sponsor(s),Airdrop,Zero to Hero,Unfunded Priority,Program Element,Service Subsection,Bill Subsection,Bill Section,Proposed Funding Offset
,"$11,800",$0,"$11,800",silicon carbide flexible bus node,,,No,Yes,No,Advanced Surface Machinery Systems,,Navy,RDT&E,
,"$7,500",$0,"$11,500",document generation platform,,,No,Yes,No,Acquisition and Management Support,,Air Force,RDT&E,
,$0,"$11,500","$11,500",Cognitive computing architecture for military systems,,,No,Yes,No,Artificial Intelligence and Machine Learning Advanced Technologies,,Army,RDT&E,
,"$11,000",$0,"$11,000",collaborative hypersonic demonstration,,,No,Yes,No,Aerospace Vehicle Technologies,,Air Force,RDT&E,
,"$11,000",$0,"$11,000",capability for advanced protective technologies assessment and integration,,,No,Yes,No,Army Missile Defense Systems Integration,,Army,RDT&E,
,"$10,000","$11,000","$11,000",power electronics building block,,,No,Yes,No,Force Protection Advanced Technology,,Navy,RDT&E,
,"$10,507",$0,"$10,507",UH-60 BlackHawk main rotor blade modernization,,,No,Yes,No,Blackhawk Product Improvement Program,,Army,RDT&E,
,"$10,500",$0,"$10,500",academic cybersecurity center support,,,No,Yes,No,Acquisition and Management Support,,Air Force,RDT&E,
,"$10,000",$0,"$10,500",reactive alloy munition with enhanced blast for force modernization,,,No,Yes,No,Long Range Precision Fires Technology,,Army,RDT&E,
,"$1,000","$10,500","$10,500",stibnite and antimony for ammunition production,,,No,Yes,No,Weapons and Munitions Product Improvement Programs,,Army,RDT&E,
,"$10,500",$0,"$10,500",C-130J auto flight deck and remote mission systems,,,No,Yes,No,SOF Advanced Technology Development,,Defense Wide,RDT&E,
,"$10,500",$0,"$10,500",sonobuoy modernization for high altitude anti-submarine warfare,,,No,Yes,No,Acoustic Search Sensors,,Navy,RDT&E,
,$0,"$10,500","$10,500",Defense of LEO,,,No,No,No,Space Science and Technology Research and Development,,Space Force,RDT&E,
,$0,"$10,250","$10,250",2.5D advanced packaging,,,No,Yes,No,Industrial Base Analysis and Sustainment Support,,Defense Wide,RDT&E,
,$0,"$10,250","$10,250",sUAS degraded environment testing,,,No,Yes,No,Force Protection Applied Research,,Navy,RDT&E,
,"$10,200",$0,"$10,200",MK-48 torpedo test equipment,,,No,Yes,No,MK-48 ADCAP,,Navy,RDT&E,
,$0,"$10,181","$10,181",Hybrid ammunition manufacturing for next-generation squad weapons,,,No,Yes,No,Weapons and Munitions Product Improvement Programs,,Army,RDT&E,
,$0,"$10,000","$10,000",Civil engineering survey equipment,,,No,Yes,No,Base Procured Equipment,"Other Procurement, Air Force",Air Force,Procurement,
,"$10,000",$0,"$10,000",accelerate short range reconnaissance fielding,,,No,No,,Small Unmanned Aircraft Systems,"Aircraft Procurement, Army",Army,Procurement,
,"$10,000",$0,"$10,000",loitering munitions,,,No,Yes,No,Lethal Miniature Aerial Missle System (LMAMS),"Missile Procurement, Army",Army,Procurement,
,$0,"$10,000","$10,000",High frequency radios,,,No,No,No,COTS Communications Equipment,"Other Procurement, Army",Army,Procurement,
,"$10,000",$0,"$10,000",arctic basing solutions,,,No,Yes,No,Force Provider,"Other Procurement, Army",Army,Procurement,
,$0,"$10,000","$10,000",Prophet enhanced ESP kits,,,No,Yes,No,Mod of In-Svc Equip (Intel SPT),"Other Procurement, Army",Army,Procurement,
,"$10,000",$0,"$10,000",land surveying systems,,,No,Yes,No,MOD of IN-SVC Equipment (ENFIRE),"Other Procurement, Army",Army,Procurement,
,"$10,000",$0,"$10,000",prognostic and predictive maintenance and predictive logistics,,,No,Yes,No,Abrams Upgrade Program,"Procurement of Weapons and Tracked Combat Vehicles, Army",Army,Procurement,
,$0,"$10,000","$10,000",Mk93 mounts,,,No,Yes,No,MK-19 Grenade Machine Gun MODS,"Procurement of Weapons and Tracked Combat Vehicles, Army",Army,Procurement,
,$0,$0,"$10,000",MC-130J airborne mission networking upgrades,,,Yes,No,,AM/MC-130J,"Procurement, Defense Wide",Defense Wide,Procurement,
,$0,"$10,000","$10,000",Smallpox antiviral treatment,,,No,Yes,No,CB Protection & Hazard Mitigation,"Procurement, Defense Wide",Defense Wide,Procurement,
,$0,"$10,000","$10,000",Program increase / GMV 1.1,,,No,No,No,Tactical Vehicles,"Procurement, Defense Wide",Defense Wide,Procurement,
,"$10,000",$0,"$10,000",structural improvements,,,No,No,No,H-1 Series,"Aircraft Procurement, Navy",Navy,Procurement,
,"$10,000",$0,"$10,000",oily waste treatment systems,,,No,Yes,No,Operating Forces IPE,"Other Procurement, Navy",Navy,Procurement,
,$0,"$10,000","$10,000",Alternative ASW training target,,,No,Yes,No,ASW Targets,"Weapons Procurement, Navy",Navy,Procurement,
,$0,"$10,000","$10,000",Emergency power and cooling thermal management growth,,,No,Yes,No,Aerospace Propulsion,,Air Force,RDT&E,
,"$10,000",$0,"$10,000",rotary machines with advanced magnetic materials,,,No,Yes,No,Aerospace Propulsion,,Air Force,RDT&E,
,$0,"$10,000","$10,000",Bonded unitized composites large scale structural demonstration,,,No,No,No,Aerospace Technology Dev/Demo,,Air Force,RDT&E,
,"$10,000",$0,"$10,000",digital engineering test bed,,,No,Yes,No,Aerospace Technology Dev/Demo,,Air Force,RDT&E,
,"$10,000",$0,"$10,000",hypersonic air breather manufacturing industrial base expansion,,,No,Yes,No,Aerospace Vehicle Technologies,,Air Force,RDT&E,
,$0,"$10,000","$10,000",Automated heavy machinery,,,No,Yes,No,Agile Combat Support,,Air Force,RDT&E,
,"$10,000",$0,"$10,000",B-52 in-flight networking pod,,,No,Yes,No,B-52 Squadrons,,Air Force,RDT&E,
,"$5,000","$10,000","$10,000",NC3 REACH,,,No,Yes,No,"Command, Control, Communication, and Computers (C4) - STRATCOM",,Air Force,RDT&E,
,$0,"$10,000","$10,000",Convergence technology research,,,No,Yes,No,Conventional Munitions,,Air Force,RDT&E,
,"$10,000",$0,"$10,000",cyberspace dominance technology,,,No,No,No,Dominant Information Sciences and Methods,,Air Force,RDT&E,
,"$10,000",$0,"$10,000",heterogeneously integrated photonics and electronic technologies,,,No,Yes,No,Dominant Information Sciences and Methods,,Air Force,RDT&E,
,$0,"$10,000","$10,000",Multi-domain RF spectrum environment,,,No,Yes,No,Dominant Information Sciences and Methods,,Air Force,RDT&E,
,"$10,000",$0,"$10,000",photonic chips for quantum computing,,,No,Yes,No,Dominant Information Sciences and Methods,,Air Force,RDT&E,
,"$10,000",$0,"$10,000",quantum cryptography,,,No,Yes,No,Dominant Information Sciences and Methods,,Air Force,RDT&E,
,"$10,000",$0,"$10,000",quantum entanglement distribution,,,No,Yes,No,Dominant Information Sciences and Methods,,Air Force,RDT&E,
,$0,"$10,000","$10,000",Quantum network testbed,,,No,Yes,No,Dominant Information Sciences and Methods,,Air Force,RDT&E,
,$0,"$10,000","$10,000",UAS traffic management advanced air mobility enhancements,,,No,Yes,No,Dominant Information Sciences and Methods,,Air Force,RDT&E,
,$0,"$10,000","$10,000",AI and machine learning enabled electronic warfare systems,,,No,Yes,No,Electronic Warfare Development,,Air Force,RDT&E,
,"$10,000",$0,"$10,000",data bus cybersecurity,,,No,Yes,No,F-16 Squadrons,,Air Force,RDT&E,
,$0,$0,"$10,000",airborne augmented reality for increased pilot training production,,,No,Yes,No,Human Effectiveness Advanced Technology Development,,Air Force,RDT&E,
,"$10,000","$5,000","$10,000",gallium oxide for high power electronics,,,No,Yes,No,Manufacturing Technology Program,,Air Force,RDT&E,
,"$10,000","$5,000","$10,000",accelerated material development for high mach capabilities,,,No,Yes,No,Materials,,Air Force,RDT&E,
,$0,"$10,000","$10,000",Continuous fiber 3D printing for hypersonic applications,,,No,Yes,No,Materials,,Air Force,RDT&E,
,"$10,000",$0,"$10,000","far forward human performance, sustainment, and resilience",,,No,Yes,No,Materials,,Air Force,RDT&E,
,$0,"$10,000","$10,000",Multi-functional protective materials,,,No,Yes,No,Materials,,Air Force,RDT&E,
,"$10,000",$0,"$10,000",scale titanium additive manufacturing for critical airframe structures,,,No,Yes,No,Materials,,Air Force,RDT&E,
,$0,"$10,000","$10,000",ARCHER,,,No,Yes,NORTHCOM,Over-the-Horizon Backscatter Radar,,Air Force,RDT&E,
,"$10,000",$0,"$10,000",radar modeling,,,No,Yes,No,Tactical Deception,,Air Force,RDT&E,
,"$10,000",$0,"$10,000",reconfigurable hybrid electric rotocraft,,,No,Yes,No,Tech Transition Program,,Air Force,RDT&E,
,$0,"$10,000","$10,000",Air force weather transformation,,,No,Yes,No,Weather Service,,Air Force,RDT&E,
,$0,"$10,000","$10,000",Distributed gain 300kW-class laser weapon system,,,No,Yes,No,Air and Missile Defense Advanced Technology,,Army,RDT&E,
,$0,"$10,000","$10,000",Future interceptor,,,No,Yes,No,Air and Missile Defense Advanced Technology,,Army,RDT&E,
,"$10,000",$0,"$10,000",laser power and thermal heat dissipation / HEL power and thermal subsystem,,,No,Yes,No,Air and Missile Defense Advanced Technology,,Army,RDT&E,
,"$10,000",$0,"$10,000",machine learning for Army integrated fires,,,No,Yes,No,Air and Missile Defense Systems Engineering,,Army,RDT&E,
,"$10,000",$0,"$10,000",software integration digital ecosystem,,,No,Yes,No,"Air Defense Command, Control and Intelligence - ENG DEV",,Army,RDT&E,
,"$10,000",$0,"$10,000",integrated mission planning and airspace control tools,,,No,No,No,Air Traffic Control,,Army,RDT&E,
,"$10,000","$5,000","$10,000",integrated environmental control and power development,,,No,Yes,No,Army Missile Defense Systems Integration,,Army,RDT&E,
,"$10,000",$0,"$10,000",quantum computing center,,,No,Yes,No,Defense Research Sciences,,Army,RDT&E,
,"$10,000",$0,"$10,000",advanced pressing applications for optimization of hard armor,,,No,Yes,No,End Item Industrial Preparedness Activities,,Army,RDT&E,
,"$10,000",$0,"$10,000",resilient battlefield communication,,,No,Yes,No,Future Tactical Unmanned Aircraft System (FTUAS),,Army,RDT&E,
,"$10,000",$0,"$10,000",high density eVTOL power source,,,No,Yes,No,Future Vertical Lift Technology,,Army,RDT&E,
,"$10,000",$0,"$10,000",binder jet additive components,,,No,Yes,No,Ground Advanced Technology,,Army,RDT&E,
,"$10,000",$0,"$10,000",geoengineering material solutions,,,No,Yes,No,Ground Advanced Technology,,Army,RDT&E,
,"$10,000",$0,"$10,000",microgrid reliability and resiliency,,,No,Yes,No,Ground Advanced Technology,,Army,RDT&E,
,"$5,000","$10,000","$10,000",water reuse consortium,,,No,Yes,No,Ground Advanced Technology,,Army,RDT&E,
,"$10,000",$0,"$10,000",common robotic controller,,,No,No,No,Ground Robotics,,Army,RDT&E,
,"$6,500","$10,000","$10,000",carbon nanomaterials as functional additives,,,No,Yes,No,Ground Technology,,Army,RDT&E,
,"$10,000","$5,000","$10,000",extreme battery technology / extreme batteries research,,,No,Yes,No,Ground Technology,,Army,RDT&E,
,"$10,000",$0,"$10,000",flexible hybrid electronics,,,No,Yes,No,Ground Technology,,Army,RDT&E,
,$0,"$10,000","$10,000",High temperature alloy powders,,,No,Yes,No,Ground Technology,,Army,RDT&E,
,$0,"$10,000","$10,000",Materials technology for rare earth elements,,,No,Yes,No,Ground Technology,,Army,RDT&E,
,$0,"$10,000","$10,000",Novel material solutions in austere operating environments,,,No,Yes,No,Ground Technology,,Army,RDT&E,
,$0,"$10,000","$10,000",Polar proving ground,,,No,Yes,No,Ground Technology,,Army,RDT&E,
,$0,"$10,000","$10,000",Protective coatings,,,No,Yes,No,Ground Technology,,Army,RDT&E,
,"$10,000",$0,"$10,000",stainless steel applications for defense use,,,No,Yes,No,Ground Technology,,Army,RDT&E,
,"$10,000",$0,"$10,000",carbon composites for hypersonic weapons,,,No,Yes,No,Lethality Technology,,Army,RDT&E,
,"$10,000",$0,"$10,000",advanced caliber munitions demonstration,,,No,Yes,No,Long Range Precision Fires Advanced Technology,,Army,RDT&E,
,$0,"$10,000","$10,000",Trauma immunology,,,No,Yes,No,Medical Technology,,Army,RDT&E,
,$0,"$10,000","$10,000",Modular open systems architecture development for radio frequency systems,,,No,Yes,No,Network C3I Advanced Technology,,Army,RDT&E,
,"$10,000",$0,"$10,000",advanecd packaging technologies for hardware security,,,No,Yes,No,Network C3I Technology,,Army,RDT&E,
,"$10,000",$0,"$10,000",distributed radio frequency sensor/effector technology,,,No,Yes,No,Network C3I Technology,,Army,RDT&E,
,$0,"$10,000","$10,000",Integrated photonics for contested RF environments,,,No,Yes,No,Network C3I Technology,,Army,RDT&E,
,"$10,000",$0,"$10,000",PNT for inertial systems,,,No,Yes,No,Network C3I Technology,,Army,RDT&E,
,$0,"$10,000","$10,000",Digital enterprise management for OMFV,,,No,Yes,No,Next Generation Combat Vehicle Advanced Technology,,Army,RDT&E,
,"$10,000",$0,"$10,000",operational energy platform testing,,,No,Yes,No,Next Generation Combat Vehicle Advanced Technology,,Army,RDT&E,
,$0,$0,"$10,000",silent watch hydrogen fuel cell,,,Yes,Yes,No,Next Generation Combat Vehicle Advanced Technology,,Army,RDT&E,
,"$10,000",$0,"$10,000",syntehtic graphite battery technology,,,No,Yes,No,Next Generation Combat Vehicle Advanced Technology,,Army,RDT&E,
,"$10,000",$0,"$10,000",active protection systems,,,No,No,No,Next Generation Combat Vehicle Technology,,Army,RDT&E,
,"$10,000",$0,"$10,000",advanced materials development for survivability,,,No,Yes,No,Next Generation Combat Vehicle Technology,,Army,RDT&E,
,$0,"$10,000","$10,000",Hydrogen technologies,,,No,Yes,No,Next Generation Combat Vehicle Technology,,Army,RDT&E,
,$0,"$10,000","$10,000",Large metal additive manufacturing for ground vehicles,,,No,Yes,No,Next Generation Combat Vehicle Technology,,Army,RDT&E,
,$0,"$10,000","$10,000",Mobility materials research,,,No,Yes,No,Next Generation Combat Vehicle Technology,,Army,RDT&E,
,$0,"$10,000","$10,000",Military footwear research,,,No,Yes,No,Soldier Lethality Advanced Technology,,Army,RDT&E,
,"$10,000",$0,"$10,000",future force requirements experimentation - advanced dynamic spectrum reconnaissance,,,No,Yes,No,Soldier Lethality Technology,,Army,RDT&E,
,"$10,000",$0,"$10,000",Pathfinder Air Assault,,,No,Yes,No,Soldier Lethality Technology,,Army,RDT&E,
,"$10,000",$0,"$10,000",Pathfinder multidomain operations ready ranger initiative,,,No,Yes,No,Soldier Lethality Technology,,Army,RDT&E,
,"$10,000",$0,"$10,000","UAS 5G, AI, and cyber detection and mitigation",,,No,Yes,No,Target Systems Development,,Army,RDT&E,
,"$10,000",$0,"$10,000",threat counter-artificial intelligence,,,No,Yes,No,Threat Simulator Development,,Army,RDT&E,
,"$10,000",$0,"$10,000",LR-PGK acceleration,,,No,Yes,No,Weapons and Munitions - ENG DEV,,Army,RDT&E,
,$0,"$10,000","$10,000",Refractory metal alloys for hypersonics,,,No,Yes,No,Weapons and Munitions Product Improvement Programs,,Army,RDT&E,
,"$10,000",$0,"$10,000",artificial intelligence reinforcements,,,No,No,No,Advanced Aerospace Systems,,Defense Wide,RDT&E,
,"$10,000",$0,"$10,000","lightweight, radiation-hardened, thermally-insensitive sensors",,,No,Yes,No,Aegis BMD,,Defense Wide,RDT&E,
,$0,"$50,000","$10,000",Autonomy enterprise platform,,,No,Yes,No,Alpha-1,,Defense Wide,RDT&E,
,"$10,000",$0,"$10,000",advanced reactive target simulation,,,No,Yes,No,Ballistic Missile Defense Targets,,Defense Wide,RDT&E,
,"$10,000",$0,"$10,000",leveraging commercial launch for targets and countermeasures,,,No,Yes,No,Ballistic Missile Defense Targets,,Defense Wide,RDT&E,
,$0,"$10,000","$10,000",Global competition analysis net assessment,,,No,Yes,No,Basic Research Initiatives,,Defense Wide,RDT&E,
,$0,"$10,000","$10,000",Hispanic serving research cohort,,,No,Yes,No,Basic Research Initiatives,,Defense Wide,RDT&E,
,$0,$0,"$10,000",defense innovation onramp hubs geographic expansion,,,Yes,Yes,No,Defense Innovation Unit (DIU),,Defense Wide,RDT&E,
,$0,$0,"$10,000",hypersonic unmanned wingman,,,No,Yes,No,Defense Innovation Unit (DIU),,Defense Wide,RDT&E,
,$0,$0,"$10,000",reusable hypersonic technology,,,No,Yes,No,Defense Innovation Unit (DIU),,Defense Wide,RDT&E,
,"$10,000",$0,"$10,000",AI for ISR drones,,,No,Yes,No,Defense Innovation Unit (DIU) Fielding,,Defense Wide,RDT&E,
,$0,$0,"$10,000",research on 5G interference with military radars,,,Yes,Yes,No,Defense Innovation Unit (DIU) Fielding,,Defense Wide,RDT&E,
,"$10,000",$0,"$10,000",additive manufacturing of undersea drones,,,No,Yes,No,Defense Innovation Unit (DIU) Prototyping,,Defense Wide,RDT&E,
,$0,"$10,000","$10,000",Domestic flexible factory for footwear manufacturing,,,No,Yes,No,Defense-Wide Manufacturing Science and Technology Program,,Defense Wide,RDT&E,
,"$5,000",$0,"$10,000",flexible hybrid electronics,,,No,No,No,Defense-Wide Manufacturing Science and Technology Program,,Defense Wide,RDT&E,
,$0,"$10,000","$10,000",High temperature composite materials manufacturing,,,No,Yes,No,Defense-Wide Manufacturing Science and Technology Program,,Defense Wide,RDT&E,
,$0,"$10,000","$10,000",5G testbed,,,No,Yes,No,Industrial Base Analysis and Sustainment Support,,Defense Wide,RDT&E,
,"$10,000",$0,"$10,000",advanced thermoplastics demonstration,,,No,Yes,No,Industrial Base Analysis and Sustainment Support,,Defense Wide,RDT&E,
,$0,"$10,000","$10,000",Critical materials processing,,,No,No,No,Industrial Base Analysis and Sustainment Support,,Defense Wide,RDT&E,
,"$10,000",$0,"$10,000",ruggedized transceivers,,,No,Yes,No,Industrial Base Analysis and Sustainment Support,,Defense Wide,RDT&E,
,"$10,000",$0,"$10,000",credibility assessment modernization,,,No,Yes,No,Insider Threat,,Defense Wide,RDT&E,
,$0,"$10,000","$10,000",Enhanced RF microelectronics production,,,No,Yes,No,Microelectronics Technology Development and Support,,Defense Wide,RDT&E,
,"$10,000",$0,"$10,000",high energy laser counter anti-ship cruise missile program thermal energy storage,,,No,Yes,No,Operational Energy Capability Improvement,,Defense Wide,RDT&E,
,$0,"$10,000","$10,000",TRISO advanced fuel,,,No,Yes,No,Operational Energy Capability Improvement,,Defense Wide,RDT&E,
,"$6,000","$10,000","$10,000",short pulse laser directed energy demonstration for hypersonic defense / short pulse laser research,,,No,Yes,No,Technology Maturation Initiatives,,Defense Wide,RDT&E,
,$0,$0,"$10,000","MACH-TB modeling, simulating, analysis, and testing classified network",,,No,Yes,No,Test & Evaluation Science & Technology,,Defense Wide,RDT&E,
,$0,"$10,000","$10,000",Chiplet interfaces for advanced node field programmable gate arrays,,,No,Yes,No,Trusted & Assured Microelectronics,,Defense Wide,RDT&E,
,"$10,000",$0,"$10,000",blast exposure monitoring,,,No,Yes,No,Warrior Systems,,Defense Wide,RDT&E,
,$0,$0,"$10,000",non-kinetic targeting and signature management,,,No,Yes,No,Warrior Systems,,Defense Wide,RDT&E,
,$0,$0,"$10,000",non-traditional ISR,,,Yes,Yes,No,Warrior Systems,,Defense Wide,RDT&E,
,$0,"$10,000","$10,000",Program increase,,,No,Yes,No,Advanced Sensors Application Program (ASAP),,Navy,RDT&E,
,$0,"$10,000","$10,000",Mobile manned/unmanned distributed lethality airborne network,,,No,Yes,No,Advanced Tactical Unmanned Aircraft System,,Navy,RDT&E,
,"$10,000",$0,"$10,000",advanced digital video map computer,,,No,Yes,No,F/A-18 Squadrons,,Navy,RDT&E,
,$0,"$10,000","$10,000",Additive manufacturing of unmanned maritime systems,,,No,Yes,No,Force Protection Applied Research,,Navy,RDT&E,
,"$10,000","$10,000","$10,000",direct air capture and blue carbon removal technology,,,No,Yes,No,Force Protection Applied Research,,Navy,RDT&E,
,"$10,000",$0,"$10,000",seawater to jet fuel demo,,,No,Yes,No,Force Protection Applied Research,,Navy,RDT&E,
,"$10,000",$0,"$10,000",advanced energetics research and development,,,No,Yes,No,Future Naval Capabilities Advanced Technology Development,,Navy,RDT&E,
,$0,"$10,000","$10,000",Textile industry of the future,,,No,Yes,No,Manufacturing Technology Program,,Navy,RDT&E,
,"$10,000",$0,"$10,000",passive ELINT targeting capability,,,No,Yes,No,MQ-8 UAV,,Navy,RDT&E,
,"$10,000","$5,000","$10,000",MH-60 capability upgrades / MH-60 upgrades,,,No,No,No,Multi-Mission Helicopter Upgrade Development,,Navy,RDT&E,
,$0,"$10,000","$10,000",Marine energy systems for sensors and microgrids,,,No,Yes,No,Navy Energy Program,,Navy,RDT&E,
,$0,"$10,000","$10,000",SAPF/SCIF university facility upgrades,,,No,Yes,No,Ocean Warfighting Environment Applied Research,,Navy,RDT&E,
,"$10,000",$0,"$10,000",next generation strategic inertial measurement unit,,,No,Yes,No,Strategic Sub & Weapons System Support,,Navy,RDT&E,
,"$10,000",$0,"$10,000",tactial edge networking payloads,,,No,Yes,No,Test and Evaluation Support,,Navy,RDT&E,
,$0,"$50,000","$10,000",Defense university research instrumentation program,,,No,No,No,University Research Initiatives,,Navy,RDT&E,
,"$10,000",$0,"$10,000",autonomous maritime patrol aircraft,,,No,Yes,No,Unmanned Aerial System,,Navy,RDT&E,
,"$10,000",$0,"$10,000",common sensor platform for strategic and distributed autonomous cyber-EW,,,No,Yes,No,USMC Advanced Technology Demonstration [ATD],,Navy,RDT&E,
,"$10,000",$0,"$10,000",long range maneuvering projectile,,,No,Yes,No,USMC Advanced Technology Demonstration [ATD],,Navy,RDT&E,
,"$10,000",$0,"$10,000",thermoplastics ice protection demonstration,,,No,Yes,No,V-22A,,Navy,RDT&E,
,"$10,000",$0,"$10,000",laser protective eyewear research,,,No,Yes,No,Warfighter Protection Advanced Technology,,Navy,RDT&E,
,$0,"$10,000","$10,000",Health and safety of underground fuel storage,,,No,Yes,No,Warfighter Sustainment Applied Research,,Navy,RDT&E,
,$0,"$10,000","$10,000",Warfighter protection against directed energy / warfighter protection against directed energy - physics-based neutralization to human tissues and organs,,,No,Yes,No,Warfighter Sustainment Applied Research,,Navy,RDT&E,
,$0,"$10,000","$10,000",Space-Based Monitoring over the U.S. Southern Command AOR,,,No,Yes,No,Comercial Services,,Space Force,RDT&E,
,$0,"$10,000","$10,000",AI and autonomy for data analytics and sensors,,,No,Yes,No,Space Situation Awareness Operations,,Space Force,RDT&E,
,$0,"$10,000","$10,000",Autonomous RPOD,,,No,Yes,No,Space Technology,,Space Force,RDT&E,
,"$9,850",$0,"$9,850",secure autonomous data link for undersea warfare (USW) portable ranges (SADL-UP),,,No,No,No,ASW Support Equipment,"Other Procurement, Navy",Navy,Procurement,
,"$9,850",$0,"$9,850",pushbroom imaging next generation system,,,No,Yes,No,Ocean Warfighting Environment Applied Research,,Navy,RDT&E,
,"$9,800",$0,"$9,800",synthetic biology manufacturing of critical materials,,,No,Yes,No,Materials,,Air Force,RDT&E,
,"$9,800",$0,"$9,800",capability for advanced air mobility,,,No,Yes,No,Tech Transition Program,,Air Force,RDT&E,
,"$9,800",$0,"$9,800",AI for ISR data and analysis,,,No,Yes,No,Defense Innovation Unit (DIU) Fielding,,Defense Wide,RDT&E,
,$0,"$9,800","$9,800",Advnaced batteries for cargo drones,,,No,Yes,No,Marine Corps Ground Combat/Supporting Arms Systems,,Navy,RDT&E,
,"$9,800",$0,"$9,800",hybrid-electric engine development,,,No,Yes,No,USMC Advanced Technology Demonstration [ATD],,Navy,RDT&E,
,$0,$0,"$9,700",digital transformation office,,,No,Yes,No,Digital Transformation Office,,Air Force,RDT&E,
,"$9,600",$0,"$9,600",critical protection technology for cybersecurity engineering,,,No,Yes,No,Ship Concept Advanced Design,,Navy,RDT&E,
,$0,"$9,500","$9,500",SATCOM on the move,,,No,No,No,Tactical Network Technology Mod in Svc,"Other Procurement, Army",Army,Procurement,
,"$9,500",$0,"$9,500",alternative PNT for hypersonics,,,No,Yes,No,Aerospace Technology Dev/Demo,,Air Force,RDT&E,
,"$9,500",$0,"$9,500",resilient autonomous systems research and diversity programs,,,No,Yes,No,Force Protection Applied Research,,Navy,RDT&E,
,"$9,500","$9,500","$9,500",unmanned logistics solutions,,,No,Yes,No,Marine Corps Landing Force Technology,,Navy,RDT&E,
,"$9,400",$0,"$9,400",electrical testing equipment,,,No,Yes,No,F-15E Squadrons,,Air Force,RDT&E,
,$0,"$9,000","$9,000",Bromine free water systems,,,No,Yes,No,DDG Mod,"Other Procurement, Navy",Navy,Procurement,
,$0,"$9,000","$9,000",Diesel fuel outboard motor testing,,,No,Yes,No,Standard Boats,"Other Procurement, Navy",Navy,Procurement,
,"$5,000",$0,"$9,000",digital-first ecosystem,,,No,Yes,No,Acquisition and Management Support,,Air Force,RDT&E,
,"$9,000",$0,"$9,000","hardware and embedded systems security, assurance, and trust",,,No,No,No,Aerospace Sensors,,Air Force,RDT&E,
,"$9,000",$0,"$9,000",special projects,,,No,Yes,No,Airborne SIGINT Enterprise,,Air Force,RDT&E,
,"$9,000",$0,"$9,000",automated geospatial intelligence algorithms,,,No,Yes,No,Future AF Integrated Technology Demos,,Air Force,RDT&E,
,$0,"$9,000","$9,000",High energy synchrotron x-ray research,,,No,Yes,No,Materials,,Air Force,RDT&E,
,$0,"$9,000","$9,000",Minority leaders research collaboration program,,,No,Yes,No,Materials,,Air Force,RDT&E,
,"$9,000",$0,"$9,000",agile manufacturing robot,,,No,Yes,No,Rapid Sustainment Modernization [RSM],,Air Force,RDT&E,
,"$9,000",$0,"$9,000",enterprise digitial transformation with commercial physics simulation,,,No,Yes,No,Requirements Analysis and Maturation,,Air Force,RDT&E,
,$0,"$9,000","$9,000",Weather wing data migration,,,No,Yes,No,Weather Service,,Air Force,RDT&E,
,$0,"$9,000","$9,000",Advanced materials research and development,,,No,Yes,No,Lethality Technology,,Army,RDT&E,
,"$9,000",$0,"$9,000",printed electronics,,,No,Yes,No,Weapons and Munitions Product Improvement Programs,,Army,RDT&E,
,$0,"$9,000","$9,000",Resilient innovative sustainable economies via university partnerships,,,No,Yes,No,Force Protection Applied Research,,Navy,RDT&E,
,"$15,000",$0,"$9,000",advanced missile seeker,,,No,Yes,No,Innovative Naval Prototypes [INP] Advanced Technology Development,,Navy,RDT&E,
,$0,"$9,000","$9,000",Anti-corrosion nanotechnology,,,No,Yes,No,Warfighter Sustainment Applied Research,,Navy,RDT&E,
,"$8,887","$8,887","$8,887",program increase,,,No,No,No,Civil Air Patrol A/C,"Aircraft Procurement, Air Force",Air Force,Procurement,
,$0,"$8,800","$8,800",Digital night vision technology,,,No,Yes,No,Soldier Lethality Technology,,Army,RDT&E,
,"$8,600",$0,"$8,600",Marine Corps geospatial enterprise cloud capability modernization,,,No,Yes,No,Distributed Common Ground/Surface Systems,,Navy,RDT&E,
,"$2,500","$11,000","$8,500",damage control resuscitation and damage control surgery equipment,,,No,Yes,Marine Corps,Field Medical Equipment,"Procurement, Marine Corps",Navy,Procurement,
,"$8,500",$0,"$8,500",metal additive manufacturing,,,No,Yes,No,Manufacturing Technology Program,,Air Force,RDT&E,
,$0,"$8,500","$8,500",Silicon carbide electronics,,,No,Yes,No,Air and Missile Defense Advanced Technology,,Army,RDT&E,
,$0,"$8,500","$8,500",Advanced manufacturing of energetic materials,,,No,Yes,No,Combating Weapons of Mass Destruction Advanced Technology Development,,Defense Wide,RDT&E,
,"$8,500","$4,000","$8,500",high performance pigment and dispersion materials to improve battery cathode efficiency / Conductive pigments and coatings in batteries,,,No,Yes,No,Warfighter Sustainment Applied Research,,Navy,RDT&E,
,$0,"$8,350","$8,350",Space based telemetry using phased array,,,No,Yes,No,Test & Evaluation Science & Technology,,Defense Wide,RDT&E,
,$0,"$8,134","$8,134",Autonomous minefield clearance,,,No,Yes,No,Next Generation Combat Vehicle Advanced Technology,,Army,RDT&E,
,$0,"$8,000","$8,000",Type I all terrain cranes,,,No,No,No,All Terrain Cranes,"Other Procurement, Army",Army,Procurement,
