COUNT,House Amount (in thousands),Senate Amount (in thousands),Final Amount (in thousands),Program Increase,Floor Amendment,Sponsor(s),Airdrop,Zero to Hero,Unfunded Priority,Program Element,Service Subsection,Bill Subsection,Bill Section,Proposed Funding Offset
,"$5,000",$0,$0,Soldier Lethality Advanced Technology,78.0,Trahan (MA),No,No,No,Soldier Lethality Advanced Technology,,Army,RDT&E,"O&M, Defense Wide"
,"$10,000",$0,$0,Army RDT&E,77.0,Strong (AL),No,No,No,,,Army,RDT&E,"O&M, Defense Wide"
,"$2,500",$0,$0,"Procurement, Defense Wide",76.0,Strong (AL),No,No,No,,"Procurement, Defense Wide",Defense Wide,Procurement,"O&M, Defense Wide"
,"$5,000","$3,000","$3,000",lightweight UAV skins that are rapidly additively manufactured -- This capability will help to support cheaper and quicker development for the Collaborative Combat Aircraft using state-of-the-art rapid additive manufacturing capabilities / Additive manufactured lightweight UAV skins,75.0,Sorenson (IL),No,Yes,No,Manufacturing Technology Program,,Air Force,RDT&E,"O&M, Defense Wide"
,"$10,000",$0,$0,"assured munitions position, navigation, and timing (APNT) warfare",65.0,Sherrill (NJ),No,No,No,,,Army,RDT&E,"O&M, Defense Wide"
,"$2,500",$0,$0,armaments technology for unmanned systems,64.0,Sherrill (NJ),No,Yes,No,,,Army,RDT&E,"O&M, Defense Wide"
,"$5,000",$0,$0,for spectrum sharing and management with adaptable and reconfigurable technology research -- This continues Army Research Lab work to develop electromagnetic spectrum dominance capabilities for the battlefield to protect warfighters and enable systems to operate in a congested spectrum environment,62.0,Sessions (TX),No,Yes,No,Network C3I Technology,,Army,RDT&E,"O&M, Defense Wide"
,"$4,000",$0,$0,"for the USAF to begin the Digital Transformation for Aircraft Gun Systems initiative to develop and deliver digital models (digital transformation) for it’s F-15, F16, F-22, and A-10 20mm and 30mm aircraft gun systems",61.0,Austin Scott (GA),No,Yes,No,Acquisition Workforce-Global Reach,,Air Force,RDT&E,"O&M, Defense Wide"
,"$10,000",$0,"$3,500",high-performance polymer composites and coatings in the Arctic / high-performance polymer composites,58.0,Norcross (NJ),No,Yes,No,Ground Technology,,Army,RDT&E,"O&M, Defense Wide"
,"$2,000",$0,$0,to provide solutions in autonomous connectivity of autonomous machines while ensuring high levels of security and resilience,56.0,"Mills (FL), Moskowitz (FL)",No,Yes,No,Human Effectiveness Advanced Technology Development,,Air Force,RDT&E,"O&M, Defense Wide"
,"$4,000",$0,$0,to enable continued development of the Paratrooper and Powered Paragliders Autopilot System (PAPPAS),54.0,McCormick (GA),No,Yes,No,,,Army,RDT&E,"O&M, Defense Wide"
,"$15,000",$0,$0,Infantry Squad Vehicles,53.0,"McClain (MI), Bergman (MI), Norcross (NJ), James (MI)",No,No,No,Ground Mobility Vehicles (GMV),"Other Procurement, Army",Army,Procurement,"O&M, Defense Wide"
,"$10,000",$0,$0,Army RDT&E,52.0,McClain (MI),No,No,No,,,Army,RDT&E,"O&M, Defense Wide"
,"$7,500",$0,$0,Army RDT&E,51.0,McClain (MI),No,No,No,,,Army,RDT&E,"O&M, Defense Wide"
,"$5,000",$0,"$2,500",wearable TBI prevention devices / wearable medical device for TBI prevention,49.0,"Luttrell (TX), Gallagher (WI), Himes (CT)",No,Yes,No,Medical Systems - Adv Dev,,Army,RDT&E,"O&M, Defense Wide"
,"$15,000",$0,$0,litter lift stabilization system,47.0,"Luttrell (TX), Moore (UT), McCormick (GA)",No,Yes,No,Utility Helicopter Mods,"Aircraft Procurement, Army",Army,Procurement,"O&M, Defense Wide"
